Name
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
"Heikkinen, Miss. Laina"
"Futrelle, Mrs. Jacques Heath (Lily May Peel)"
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)"
"Nasser, Mrs. Nicholas (Adele Achem)"
"Sandstrom, Miss. Marguerite Rut"
"Bonnell, Miss. Elizabeth"
"Vestrom, Miss. Hulda Amanda Adolfina"
"Hewlett, Mrs. (Mary D Kingcome) "
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)"
"Masselmani, Mrs. Fatima"
"McGowan, Miss. Anna ""Annie"""
"Palsson, Miss. Torborg Danira"
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)"
"O'Dwyer, Miss. Ellen ""Nellie"""
"Spencer, Mrs. William Augustus (Marie Eugenie)"
"Glynn, Miss. Mary Agatha"
"Vander Planke, Miss. Augusta Maria"
"Nicola-Yarred, Miss. Jamila"
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)"
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)"
"Laroche, Miss. Simonne Marie Anne Andree"
"Devaney, Miss. Margaret Delia"
"O'Driscoll, Miss. Bridget"
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)"
"Harper, Mrs. Henry Sleeper (Myna Haxtun)"
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)"
"Rugg, Miss. Emily"
"West, Miss. Constance Mirium"
"Icard, Miss. Amelie"
"Nye, Mrs. (Elizabeth Ramell)"
"Andersson, Miss. Erna Alexandra"
"Goodwin, Miss. Lillian Amy"
"Dowdell, Miss. Elizabeth"
"McDermott, Miss. Brigdet Delia"
"Ilett, Miss. Bertha"
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)"
"Fortune, Miss. Mabel Helen"
"Doling, Mrs. John T (Ada Julia Bone)"
"Petranec, Miss. Matilda"
"Salkjelsvik, Miss. Anna Kristine"
"Moran, Miss. Bertha"
"Zabour, Miss. Hileni"
"Jussila, Miss. Katriina"
"Attalah, Miss. Malake"
"Andersson, Miss. Ellis Anna Maria"
"Webber, Miss. Susan"
"Peter, Miss. Anna"
"Robins, Mrs. Alexander A (Grace Charity Laury)"
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)"
"Newsom, Miss. Helen Monypeny"
"Boulos, Mrs. Joseph (Sultana)"
"Nysten, Miss. Anna Sofia"
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)"
"Ford, Miss. Robina Maggie ""Ruby"""
"Pears, Mrs. Thomas (Edith Wearne)"
"Gilnagh, Miss. Katherine ""Katie"""
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"
"Chibnall, Mrs. (Edith Martha Bowerman)"
"Skoog, Mrs. William (Anna Bernhardina Karlsson)"
"Johnson, Miss. Eleanor Ileen"
"Isham, Miss. Ann Elizabeth"
"Sage, Miss. Constance Gladys"
"Kink-Heilmann, Miss. Luise Gretchen"
"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)"
"Pinsky, Mrs. (Rosa)"
"Andersen-Jensen, Miss. Carla Christine Nielsine"
"Brown, Mrs. James Joseph (Margaret Tobin)"
"Lurette, Miss. Elise"
"Madigan, Miss. Margaret ""Maggie"""
"Yrois, Miss. Henriette (""Mrs Harbeck"")"
"Strom, Miss. Telma Matilda"
"Carr, Miss. Helen ""Ellen"""
"Cameron, Miss. Clear Annie"
"Newell, Miss. Madeleine"
"Honkanen, Miss. Eliina"
"Bazzani, Miss. Albina"
"Lefebre, Miss. Mathilde"
"Harris, Mrs. Henry Birkhardt (Irene Wallach)"
"Asplund, Miss. Lillian Gertrud"
"Harknett, Miss. Alice Phoebe"
"Collyer, Miss. Marjorie ""Lottie"""
"Zabour, Miss. Thamine"
"Murphy, Miss. Katherine ""Kate"""
"Lindahl, Miss. Agda Thorilda Viktoria"
"Hamalainen, Mrs. William (Anna)"
"Strom, Mrs. Wilhelm (Elna Matilda Persson)"
"Rosblom, Mrs. Viktor (Helena Wilhelmina)"
"Touma, Mrs. Darwis (Hanne Youssef Razi)"
"Thorne, Mrs. Gertrude Maybelle"
"Cherry, Miss. Gladys"
"Ward, Miss. Anna"
"Parrish, Mrs. (Lutie Davis)"
"Henry, Miss. Delia"
"Graham, Mrs. William Thompson (Edith Junkins)"
"Bissette, Miss. Amelia"
"Mellinger, Mrs. (Elizabeth Anne Maidment)"
"Healy, Miss. Hanora ""Nora"""
"Andrews, Miss. Kornelia Theodosia"
"Lindblom, Miss. Augusta Charlotta"
"Abbott, Mrs. Stanton (Rosa Hunt)"
"Connolly, Miss. Kate"
"Barber, Miss. Ellen ""Nellie"""
"Bishop, Mrs. Dickinson H (Helen Walton)"
"Haas, Miss. Aloisia"
"Allison, Miss. Helen Loraine"
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)"
"Kelly, Miss. Anna Katherine ""Annie Kate"""
"Keane, Miss. Nora A"
"Fleming, Miss. Margaret"
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)"
"Francatelli, Miss. Laura Mabel"
"Hays, Miss. Margaret Bechstein"
"Ryerson, Miss. Emily Borie"
"Lahtinen, Mrs. William (Anna Sylfven)"
"Nilsson, Miss. Helmina Josefina"
"Kantor, Mrs. Sinai (Miriam Sternin)"
"Wick, Miss. Mary Natalie"
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)"
"Slayter, Miss. Hilda Mary"
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)"
"Young, Miss. Marie Grice"
"Ball, Mrs. (Ada E Hall)"
"Goldsmith, Mrs. Frank John (Emily Alice Brown)"
"Hippach, Miss. Jean Gertrude"
"McCoy, Miss. Agnes"
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)"
"Burns, Miss. Elizabeth Margaret"
"Fortune, Miss. Alice Elizabeth"
"Brown, Miss. Amelia ""Mildred"""
"Smith, Miss. Marion Elsie"
"Davison, Mrs. Thomas Henry (Mary E Finck)"
"Bowerman, Miss. Elsie Edith"
"Funk, Miss. Annie Clemmer"
"McGovern, Miss. Mary"
"Mockler, Miss. Helen Mary ""Ellie"""
"Barbara, Mrs. (Catherine David)"
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)"
"Moussa, Mrs. (Mantoura Boulos)"
"Jermyn, Miss. Annie"
"Aubart, Mme. Leontine Pauline"
"Palsson, Miss. Stina Viola"
"Meyer, Mrs. Edgar Joseph (Leila Saks)"
"Landergren, Miss. Aurora Adelia"
"Bidois, Miss. Rosalie"
"Nakid, Miss. Maria (""Mary"")"
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)"
"Buss, Miss. Kate"
"Lehmann, Miss. Bertha"
"Newell, Miss. Marjorie"
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)"
"Olsson, Miss. Elina"
"Trout, Mrs. William H (Jessie L)"
"Jussila, Miss. Mari Aina"
"Oreskovic, Miss. Marija"
"Lefebre, Miss. Ida"
"Minahan, Miss. Daisy E"
"Meek, Mrs. Thomas (Annie Louise Rowley)"
"Drew, Mrs. James Vivian (Lulu Thorne Christian)"
"Silven, Miss. Lyyli Karoliina"
"Van Impe, Miss. Catharina"
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)"
"Clarke, Mrs. Charles V (Ada Maria Winfield)"
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")"
"Thorneycroft, Mrs. Percival (Florence Kate White)"
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)"
"Carter, Miss. Lucile Polk"
"Ford, Miss. Doolina Margaret ""Daisy"""
"Richards, Mrs. Sidney (Emily Hocking)"
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)"
"Reynaldo, Ms. Encarnacion"
"Mellinger, Miss. Madeleine Violet"
"Baclini, Miss. Marie Catherine"
"Kenyon, Mrs. Frederick R (Marion)"
"Toomey, Miss. Ellen"
"Baclini, Miss. Helene Barbara"
